track_name,artists,track_id,track_genre
January's Child,Ghost Of The Machine,1LQQEnR3JsLXRNcT9WSSGW,rock
Como Lo Tienes Tu (with Bunbury),Pereza,46g3oyRhcPoxIKfFZUDRos,rock
The Holiday Song,Pixies,3tc5tmcnmuZ2xTdHCqhfSe,rock
River Drift,Twiddle,6LHRrdLlJCcJ3sZfjs5mX7,rock
Hunter S. Thompson's Younger Brother,Shadowy Men On A Shadowy Planet,5y6TROtZHpAKglILzEWUdg,rock
Za Esmu,Mladen Vojičić - Tifa,2eDvFuGwU96yoQMF9aDt5H,rock
With These Hands,Johnnie Ray,5GcrxCGy06qjHXT90dUpiP,rock
Pepper Put the Cuffs On Me,Bad Detectives,3MWnpG5LiY7xxGP2fJd3lL,rock
Ocupe La Piedra,AQUëLES!,3bIqtlVIPZoLZHHShMYmlK,rock
Happy Birthday Kamryn,The Best Birthday Song Band Ever,0NqcQXtGR8xJ1a2MQeHBgB,rock
Otkako Te Ne Volim,Arsen Dedić,5tt5OEdYdgWGZMSk2yfLXX,rock
Earn the Crown,Backyard Babies,2EZEvENbV97osS2Pukn71U,rock
Devil's Jump,John Lee Hooker,5Ug3EdcFmjihJoCzGsWRd5,rock
Mustang Blues - Instrumental,Brebaje Extraño,5xVDRfI2XvuFBf5Kytv9YB,rock
הנה הנה,Matti Caspi,1C6dXTY1OfHBauVV8nGvRp,rock
不定,Hisato Higuchi,5ydzeptJfMPnKDv43dZNVC,rock
After All,Moongarden,7uW5fCYIWlsL0UySaE3Oj0,rock
Cadillac,Marcus King,1j1CeEom4KfmrKgda7zuWL,rock
Fall in (Live @ Converse Rubber Tracks),Cloud Nothings,7xvkVuv4KzGfLlYABbp2Dt,rock
100 Cigarettes,Big Sugar,33OSoXFiXBJQwfTfNziPGe,rock
Película de Mala - Remix,Los Rabanes,1M3M0MGT1WLR81iRlMBlLn,rock
Middle Of A Dream - Live,Keith Emerson,1YSrtnDDABk7JXRY3BwEa0,rock
Down In The Dirt,The Revivalists,5gCruy9T6XJcy4tSKf5em8,rock
Wait,The Anix,2fPkaeBhF9HKuAZdb5nRBk,rock
"Won't Get Fooled Again - Live At The The Civic Auditorium, San Francisco, USA / 1971 / Remastered 2022",The Who,1CHhapAGzilYcHPM700CGs,rock
Lust - Instrumental,Nikonn,44IfmW8rRcP2VFOgCLJOy0,rock
L'ascesa di Hermes nel dio visibile,Ancient Veil,5xOPadohBtRNAyvl0MrPaO,rock
Él me mintió,Saray,0S0p6OC4YLC08GntCUyPQX,rock
Só se não for brasileiro nessa hora,Novos Baianos,1yJj3tZ1QMb2QEPpMnoHv8,rock
宇宙を燃やせ - リアレンジ,Aobozu,1KdCUEfhY5Hqc5SImkDTyY,rock
In Love We Trust - Live At The Castle Party,Clan of Xymox,4u3WRt9hZQ6351hLkrvBMM,rock
Crush,Stereophonics,6pHWYTPYdyfcAzsOlhDFgx,rock
Fools Gold - BBC Session 11/10/1976,Thin Lizzy,68xZl1VnZJCBAA9ygSMPma,rock
Vowlens Rowlens - Instrumental,Cavedoll,2uvDsySRKFu1Il9F4exAW8,rock
Igra,Signal,22eEgeJLuhC5MPayJnHzXp,rock
Ranche Punta,Los Gatos Bravos,31IU5clzNWJ8EVli1AdJYh,rock
Hoochie Coochie,The Sugarshakers,1ElDae0PDIGXJ1m61g8Bcm,rock
I'm Still Waiting,Jackie Edwards,5xwBVqrbViYXHQPiVPtfR2,rock
Down In a Bottle,Fizzy Soup,4Z0P98rfd6kAGUV4afoBDE,rock
"Whatever You Do, Don't Go In The Basement (Instrumental)",Swimmer One,726WWdLWxDowk7suHd4Mpy,rock
Payroll,Brutus,6Vb4OJ5nqCheQgElw62d4F,rock
Something Got Me Started,Simply Red,4uAXP08wFCGcQs7Blj8jl2,rock
Obsolete,Nine Days,0SQae6mkdvdFIMyXKhD9We,rock
Glave,Elektricni Orgazam,0yEj8oh2LRf9Dg0yQ9IJEt,rock
Aquí Estamos,Reciclaje,2lvnaKS9AEVb6As4q4e3UA,rock
Sunshine Radio,Faith Circus,6YQChqnKSM95Q5vyotSGS8,rock
Ilargipeko aitorpenak,Urtz,4hWM2d2qdRKfdDSvJD37DE,rock
Тирса,Frazé-Frazénko,0dMseg4bu0VLbjN959jpYq,rock
Mēles,B OPTIMIST,1hkTKm4S39qNalJKK1PO7X,rock
Tijuana Wedding - Mono,Leon Russell,6iDSMIvDRSgmMnY4fiJ4bv,rock
30 ans,Miossec,6M7aFjFDLPZnvbfR6QqVrC,rock
Under the Eye - Bonus Track,Larry Norman,73zpoyqUKPLkh5PPWvLYgh,rock
Юла,Sansara,14Kze7m2T8mftk5mgm4DMr,rock
Hoy Somos Japón,Cecimonster vs. Donka,6lpDOSAQZIPSORwAzKDSFn,rock
Navarac,Exegesis,2x38M68UeJ5EFjhU4WBKSB,rock
Precious,RIZE,2m5j7m5lKUrDSjA1my3fiA,rock
This Tragedy - 2002 Remake,The Last Dance,6L2qr7JVRWM1MArTV88EWA,rock
Daydream Getaway,Peter Wolf,6CZ1FiduFAgMSdjMugCLq7,rock
